idx,blk,expected_fee,actual_fee,carry,expected_price,actual_price,cex_price,pool_value
0,21763873,530,500,30,2495,2495,2483719500,303699.44
1,21763900,504,530,-26,2508,2508,2495300000,304511.77
2,21763956,521,500,21,2476,2476,2478756500,302514.10
3,21763988,504,521,-17,2488,2488,2482856667,303285.51
4,21764003,502,500,2,2480,2480,2489288500,302760.22
5,21764042,501,502,-1,2481,2481,2511061333,302865.90
6,21764057,501,500,1,2488,2488,2503143500,303285.18
7,21764080,519,520,-1,2458,2458,2495230167,301392.03
8,21764087,527,500,27,2494,2494,2498377333,352003.92
9,21764089,501,527,-26,2499,2499,2498153333,352349.82
10,21764135,501,500,1,2500,2500,2507431333,352415.06
11,21764146,501,502,-1,2494,2494,2511618833,351994.78
12,21764156,501,500,1,2496,2496,2518829500,352190.57
13,21764163,504,501,3,2509,2509,2513911667,353086.50
14,21764174,501,503,-2,2512,2512,2528126667,353339.51
15,21764192,504,500,4,2526,2526,2521493167,354284.28
16,21764196,501,505,-4,2522,2522,2525085167,353998.49
17,21764212,501,500,1,2524,2524,2529757833,354193.17
18,21764212,500,501,-1,2524,2524,2529757833,354193.17
19,21764258,502,501,1,2516,2516,2512856333,353597.93
20,21764305,505,506,-1,2501,2501,2528154000,304088.83
21,21764307,501,500,1,2503,2503,2526295000,304238.63
22,21764333,518,501,17,2533,2533,2528087500,306094.31
23,21764348,501,518,-17,2529,2529,2525640000,305848.28
24,21764357,501,500,1,2532,2532,2534654500,288273.41
25,21764396,501,501,0,2536,2536,2539575000,288538.60
26,21764403,501,500,1,2538,2538,2543296667,288638.01
27,21764423,501,501,0,2542,2542,2550144167,289688.37
28,21764450,504,500,4,2554,2554,2563686667,290348.03
29,21764527,505,504,1,2569,2569,2577593500,291177.63
30,21764531,501,501,0,2572,2572,2581656500,291324.29
31,21764539,501,500,1,2579,2579,2580811667,291717.60
32,21764545,501,501,0,2580,2580,2583488833,291756.27
33,21764551,501,500,1,2586,2587,2591713500,291263.89
34,21764557,503,501,2,2599,2599,2603808833,291922.98
35,21764580,501,502,-1,2606,2606,2598719333,292318.06
36,21764589,501,500,1,2605,2606,2608136000,292283.75
37,21764598,500,502,-2,2605,2606,2604750833,292283.41
38,21764611,502,500,2,2613,2613,2600707333,292678.22
39,21764636,501,502,-1,2617,2617,2626770167,292887.80
40,21764669,501,500,1,2618,2619,2602481333,292979.85
41,21764682,519,520,-1,2586,2587,2589709500,291266.04
42,21764718,502,500,2,2595,2595,2600720000,291727.49
43,21764723,512,502,10,2619,2620,2602455000,293043.76
44,21764747,525,535,-10,2582,2583,2578465000,273809.76
45,21764789,501,500,1,2580,2582,2562545667,302266.92
46,21764795,509,510,-1,2560,2561,2561043500,301000.04
47,21764820,504,503,1,2547,2548,2544239167,300185.02
48,21764889,502,501,1,2554,2555,2555624167,309713.92
49,21764917,502,501,1,2564,2565,2570547667,310330.08
50,21764926,502,501,1,2574,2575,2566251500,310987.93
51,21764959,503,501,2,2585,2586,2597115167,310744.11
52,21764970,501,502,-1,2590,2591,2605321333,311046.54
53,21764979,517,500,17,2620,2621,2611057333,312893.55
54,21764980,506,523,-17,2602,2603,2613201333,311781.86
55,21765008,500,500,0,2602,2603,2605498333,311774.04
56,21765026,501,500,1,2602,2603,2593832167,311761.58
57,21765030,501,502,-1,2601,2602,2579616167,311698.03
58,21765035,507,506,1,2582,2583,2577180667,310554.34
59,21765048,501,501,0,2582,2583,2572771667,310565.54
60,21765063,501,501,0,2580,2581,2587039000,310408.93
61,21765064,501,500,1,2582,2583,2587641500,310541.66
62,21765085,501,501,0,2584,2585,2589649833,310662.89
63,21765092,502,500,2,2594,2595,2595152500,311267.45
64,21765124,501,503,-2,2593,2594,2589571333,311204.85
65,21765133,501,500,1,2595,2596,2596684667,311325.50
66,21765170,501,501,0,2595,2596,2584418833,311364.19
67,21765177,501,501,0,2594,2595,2585869000,311318.23
68,21765181,508,508,0,2574,2575,2585821000,310052.49
69,21765191,504,500,4,2588,2589,2591625500,310939.66
70,21765210,502,504,-2,2598,2599,2583996833,311543.04
71,21765214,503,501,2,2586,2587,2580055000,310802.95
72,21765241,502,504,-2,2576,2577,2580582000,310173.29
73,21765276,501,500,1,2574,2575,2571087667,310024.46
74,21765333,501,501,0,2580,2581,2574021667,310386.10
75,21765372,503,500,3,2591,2592,2592896667,311132.79
76,21765395,501,504,-3,2589,2588,2595006333,506520.61
77,21765412,501,500,1,2590,2590,2595919333,506670.15
78,21765423,501,501,0,2597,2594,2606695833,507732.81
79,21765429,502,500,2,2605,2602,2609025667,508750.11
80,21765430,500,502,-2,2603,2602,2609389667,508452.21
81,21765430,501,500,1,2603,2600,2609389667,508452.21
82,21765430,501,502,-1,2603,2599,2609389667,508452.21
83,21765437,501,500,1,2603,2600,2605102000,508501.83
84,21765443,500,501,-1,2603,2600,2608272500,508505.58
85,21765455,501,500,1,2596,2593,2596530167,507603.63
86,21765477,501,502,-1,2596,2592,2598206667,507501.74
87,21765480,500,500,0,2596,2592,2600846667,507505.71
88,21765485,501,500,1,2596,2593,2596888333,507617.84
89,21765498,501,501,0,2598,2595,2605562167,507863.39
90,21765516,502,500,2,2606,2603,2609083333,508890.52
91,21765533,502,502,0,2614,2611,2613078500,510034.45
92,21765535,501,500,1,2616,2613,2611812000,510283.64
93,21765543,501,501,0,2608,2613,2605271000,509122.15
94,21765543,502,502,0,2607,2604,2605271000,509122.15
95,21765559,501,501,0,2601,2598,2597183333,508215.53
96,21765586,500,500,0,2601,2598,2602829333,508219.21
97,21765595,501,500,1,2602,2599,2599922000,508372.47
98,21765604,501,501,0,2602,2599,2595752333,508395.15
